Address,Postal Code,Latitude,Longitude,Zone,Photo,Size of Property,Nearby Amenities,Public Remark,Services
0 NA SW,T6E1Z3,53.5182289,-113.489519615344,"[{'code': 'MU h16 f3.5 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638405553600500000/reb10/highres/0/E4369520_1.jpg'],,[],"Great opportunity to own a well established, almost 3000 ft.restaurant on Whyte Ave. Current owner is retiring after running it for many years.  Steady business and patrons. (30774530)",
3653 106 AV NW,T5W0C4,53.5593107901528,-113.399632430432,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638454988184200000/reb10/highres/5/E4376145_1.jpg'],,"['Public Transit', 'Schools', 'Shopping']","This lot is fully serviced and offers the possibility to construct a rooftop patio, from which you can enjoy breathtaking views of the downtown skyline and the river valley. Situated mere steps away from the scenic Ada Boulevard and the North Saskatchewan River Valley, this property is nestled on a street adorned with mature trees. It boasts a north-facing front and a sun-drenched southern backyard. Explore nearby parks, follow the river valley trails, or stroll along Ada Boulevard. Take advantage of local favorites such as Bodega, Fox Burger, Mandolin Coffee, and Kind Ice Cream. The location provides easy access to the downtown area, Wayne Gretzky Drive, Yellowhead Trail, and Anthony Henday, making for a swift commute to Costco on 50th street or to Sherwood Park. It's also conveniently close to Ivor Dent School (K-9) and Highlands School (K-9). This is an opportunity you won't want to miss! (30975414)",
12411 81 ST NW,T5B2T6,53.5802840213471,-113.465036669312,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638367817317500000/reb10/highres/7/E4366437_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","INVESTOR DREAM PROPERTY! Build your infill on this PRIME LOT! Potential for front/back duplex with legal suites!  The mature community of Elmwood Park is on the upswing, minutes from Yellowhead Trail close to schools, parks, amenitites, transportation and shopping!  Approx: 32 x 150 (30684483)","Water, Electricity"
7719 132A AV NW,T5C2C4,53.5930416709783,-113.4607211,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638500132254100000/reb10/highres/5/E4384595_1.jpg'],,"['Public Transit', 'Schools', 'Shopping']","EXCELLENT OPPORTUNITY to purchase in Edmonton.  Property is being sold for land value only. Do not attempt to enter home. No access to interior of home. Court date May 28, all offers and deposits due May 23rd 12pm (31201748)",
4841 115 AV NW,T5W0W3,53.567422500001,-113.4178297,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638265838730870000/reb10/highres/0/E4352560_1.jpg'],,"['Golf Course', 'Playground', 'Public Transit']",Building Lot 25' x 120' Fully serviced vacant lot. READY TO BUILD! South rear yard. Across the street from Ada Blvd and the gorgeous River Valley! Developer can build or bring your own contractor. (30255349),"Water, Electricity"
4845 115 AV NW NW,T5W0W3,53.567488800001,-113.4180634,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638265910319170000/reb10/highres/6/E4352586_1.jpg'],,"['Golf Course', 'Playground', 'Public Transit', 'Schools', 'Shopping']","Vacant 25' x 120' Lot, READY TO BUILD!! South facing backyard. Across from Ada Blvd and steps to Gorgeous River Valley. Build on an affordable lot and enjoy the incredible amenities around! Developer can build or bring your own contractor. (30256184)","Water, Electricity"
4843 115 AV NW,T5W0W3,53.567422500001,-113.4179447,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638265910338670000/reb10/highres/3/E4352593_1.jpg'],,"['Golf Course', 'Public Transit', 'Schools', 'Shopping']","Fully Serviced 25' x 120' vacant lot, READY TO BUILD! South facing back yard. Across from Ada Blvd and steps to the River Valley! Developer can build or bring your own contractor. (30256198)",
0 NA AV NW,T6E1X2,53.5173167834106,-113.4962432,"[{'code': 'DC1', 'description': 'Direct Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638453442903670000/reb10/highres/6/E4375116_1.jpg'],1256 sqft,[],TURN KEY BUSINESS LOCATED AT BUSY BUSINESS DISTRICT. STEADY CLIENTELE AND LOTS TAKE OUT. EASY TO OPERATE; LOW RENT INCLUDED POWER AND WATER. TOTAL 55 SEATS AND PATIO SEATING. OWNER WILL TRAIN. CAN BE CONVERT TO OTHER TYPE OF RESTAURANT. CLOSE TO WHITE AVENUE. (30946230),
9612 86 ST NW,T6C3E9,53.5342612321491,-113.459097815345,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638515612396170000/reb10/highres/1/E4388011_1.jpg'],,"['Public Transit', 'Schools', 'Shopping']","Ideal location in this lot ready for your development located in sought after Strathearn.  One block from Stathearn drive.  This 25 ft x 127 ft FULLY SERVICED lot located on a beautiful and quiet tree lined street  develop your new home with a 3rd story w/roof top patio that would have a city skyline view! Located steps from the prestigious Strathearn Drive, Strathearn Park, Gallagher Park and the River Valley trail system! Less than a 5 min walk from the new and upcoming Valley Line LRT! 5 minute drive to Downtown/Whyte Ave and less than 10 minutes to the UofA. Roads have been repaved in 2018 with new curbs and lighting. Plenty of new construction in the area that will provide additional amenities. (31300536)",
10070 164 ST NW,T5P4Y3,53.540114600001,-113.6050169,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638468235593730000/reb10/highres/1/E4378611_1.jpg'],990 sqft,[],"West Edmonton Commerce Place.  Zoned DC2 offering a variety of business's both office and retail. This Unit fronts 164 Street and offer's scattered parking, in both the complex and on the Street. The Unit has a front end Office, Reception area and open vaulted ceiling warehouse space. All units have their own furnace and hot water tank. Mezzanine area is available for storage. Extremely well priced for the area and close to all amenities and major transportation corridor's. (31039810)",
##18A 9261 34 AV NW NW,T6E5T5,53.4649282,-113.474281284656,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638386011678800000/reb10/highres/1/E4368131_1.jpg'],1100 sqft,[],"Profitable well established  coffee shop on busy street in  south Edmonton. Bright, modern & beautifully set up open space, with top of the line equipment, welcoming environment for  all  customers and  storage. 1100 sqft  with huge  windows. Excellent retail exposure, ample parking. Excellent lease with remaining 4 years . (30733901)",
0 0 ST NW NW,T6E5H5,53.484727,-113.487442169312,"[{'code': 'BE', 'description': 'Business Employment'}]",['https://cdn.realtor.ca/listings/TS638423307540700000/reb10/highres/1/E4371411_1.jpg'],,[],This is your opportunity to own this one year old Restaurant. Great lease in place with a monthly Rent of $6000 per month. Currently operating as a greek restaurant and food market. No need to worry about building a new restaurant with several months of wait for permits and equipment. The New Owner can change the Cusine to suit their requirement. (30838310),
8713 149 ST NW,T5R1B5,53.5202096212868,-113.577415586508,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638512012341570000/reb10/highres/0/E4387060_1.jpg'],,"['Golf Course', 'Playground', 'Public Transit', 'Shopping']","Investors and builders take notice! This corner lot is in a prime location just off 87 ave and seconds from Whitemud Drive. You can't beat the area with West Edmonton Mall, downtown, the River Valley, and more just minutes away. In addition, this lot already has permits for a single family home with basement suite approved. Great shops just across the road. Check this lot out before it's gone!  *GST, if applicable, is included in purchase price *buyer to verify transferability of permits (31272519)","Water, Electricity"
8711 149 ST NW,T5R1B5,53.5201220595753,-113.577507635582,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638512012354270000/reb10/highres/6/E4387066_1.jpg'],,"['Playground', 'Schools', 'Shopping']","Investors and builders look no further! This newly divided lot is in a prime location for your next development. The area can't be beat with Downton, Whitemud Drive, the River Valley, and West Edmonton Mall all just minutes away. Great stores and amenities just across the road. Check this one out before it's gone!  *GST, if applicable, is included in the purchase price (31272531)",
#300 9622 42 AV NW NW,T6E5Y4,53.4793398,-113.478404284656,"[{'code': 'BE', 'description': 'Business Employment'}]",['https://cdn.realtor.ca/listings/TS638485227639230000/reb10/highres/4/E4381734_1.jpg'],1184 sqft,[],"Welcome to Whitemud Business Park.  This established southside office park has recently underwent a condo conversion so units are now for sale! Sizes range from 1,109 Sq. Ft. up to 6,964 Sq. Ft. The park has a campus-like environment designed to enhance connectivity and collaboration. Great access to Whitemud Drive,QEII, Anthony Henday Drive. This particular unit is 4,252 Sq. Ft. on the main floor and ready for your customization. If you're looking wihtin this size range we have multiple other units within a similar size range that also may be a fit. (31125308)",
Address not available,T5R1X1,53.530118900001,-113.5889252,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638448147653170000/reb10/highres/0/E4374870_1.jpg'],,[],Liquor store business in the prestigious Meadowlark community. Great location on a corner lot of a commercial strip. Turnkey operations. Good investment opportunity for anyone looking to start or expand their business portfolio. (30940555),
76 HOWSON CR NW NW,T5A4T5,53.5818968223192,-113.380444784656,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638441595971070000/reb10/highres/5/E4373965_1.jpg'],,"['Park', 'Golf Course', 'Playground', 'Public Transit', 'Schools', 'Shopping']","Large serviced lot in desirable Canon Ridge! 58 X 114 ft walkout lot backing Canon Ridge Park with a park view in the direction of the river valley and beyond! Bordered on one side by a walkway, this private lot boasts mature trees and a walkout could be accommodated. Close to all amenities and minutes away from Hermitage Park with golf, off leash dog park and Hermitage lake. Pick any builder you desire and build your dream home on the best lot in this mature neighbourhood! (30912613)","Water, Electricity"
10919 79 AV NW NW,T6G0P1,53.514934800001,-113.5129984,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638430363943230000/reb10/highres/0/E4372530_1.jpg'],,[],"Great development opportunity at this 26 x 132 feet RS zoned lot in Edmontons highly desirable Garneau community. The subdivision has been done with the services readily available and new land title being registered. A modern design of a two-story house has been completed and can be passed to the new owner at no extra cost. Easy access to public transit, the University of Alberta, and all amenities near Whyte Avenue & 109 Street. (30869977)",
#109 10339 106 ST NW,T5J1H8,53.5456478617993,-113.502726954631,"[{'code': 'UW', 'description': 'Urban Warehouse Zone'}]",['https://cdn.realtor.ca/listings/TS638371251641830000/reb10/highres/9/E4366859_1.jpg'],796 sqft,[],"Wide cobblestone sidewalk right outside your businesses front door. Great for foot traffic and walk-in clientele. Located steps to Grant McEwan, Rogers Place and downtown business. Very walkable street with abundance of parking right in front of this commercial condo unit. Mixed office/retail and 100 residential units condominium complex. Large front windows with brand new tempered, triple pane, security grade glass. Half bath at the back, one office but could be subdivided for a more functional space, open ceiling painted black, sprinkler system. Enjoy summer lunch or coffee breaks in the private community courtyard.  Urban Warehouse zoning allows for many retail and professional uses. Affordable low condo fee of $ 322 will keep your operational costs down. (30697010)",
11211 99 AV NW,T5K0G9,53.5370751047041,-113.514505339217,"[{'code': 'DC1', 'description': 'Direct Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638466292159730000/reb10/highres/7/E4378177_1.jpg'],,['Golf Course'],"This Downtown lot offers a unique opportunity to build a home that can offer the best of luxury downtown condo living within a single-family home. Located on a quiet street, just steps away from the River Valley, previous permits were in place to utilize the entire 25x50ft lot for a 3 storey home plus basement, rooftop patio, and garage. This means no yard maintenance, walkability to all amenities, and indoor parking, without condo fees or neighboring walls. There is also a potential for commercial application as well which means an office setup with a live up and work down situation could be perfect (subject to city approvals). This is truly a unique opportunity to make a statement in an increasingly vibrant and growing community. (Artist renderings in photos are simply proposed designs) (31030338)",
10404 70 ST NW,T6A2T6,53.5467098022463,-113.435320451521,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638516146357470000/reb10/highres/4/E4388174_1.jpg'],,"['Playground', 'Public Transit', 'Schools']","BUILD YOUR DREAM HOME . Rare find on this 460 m Vacant Pie Shaped lot. Located across from a 3+ acre Park/Green Space and nestled in a super quiet Crescent location, with a building pocket of 23.5 feetSteps to the Fulton Place Ravine, River Valley and bicycle trails. River-Valley & City view from the top floor of your new home. Seller is a Custom Homebuilder who will put together a gorgeous build to meet all your needs, Or you can use your own builder. (31302795)","Water, Electricity"
24 FALCON CR,T8N1T9,53.632181700001,-113.606739,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638470684133130000/reb10/highres/0/E4378890_1.jpg'],,"['Public Transit', 'Schools', 'Shopping']","ONE OF A KIND PIE SHAPED 10,000 Sq. Ft. IN THE HEART OF ST. ALBERT! This rare find lot located in Forest Lawn located close to parks, ravines, and all levels of schooling! Walk to the FARMERS MARKET or hop on your bike for a quick ride to Fountain park pool and recreation centre. This lot is tucked away in a quiet mature neighbourhood filled with boulevard trees! With 56 feet of frontage, it has walkout potential or could work for a duplex! Build now and enjoy your new home on this beautiful tree lined street! (31049008)",
11948 88 ST NW NW,T5B3S1,53.573401900001,-113.4765748,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638346406830900000/reb10/highres/1/E4364381_1.jpg'],,"['Schools', 'Shopping']","33X150 Corner lot in the central community of Eastwood. The neighbourhood is seeing a ton of infill development including some side by side duplex, skinny homes, fourplex and triplexes on corner lots. There is a cash flow positive 8plex just across from this lot. Endless opportunities for the right investor/builder. Seller is open to Joint-venture opportunities as well and is willing to carry the mortgage while the project is being built. Currently has an old house on the lot which can be cleared off by the seller. This lot can build upto 6 units that can qualify for the CMHC MLI Select program. (30612583)",
4836 93 AV NW,T6B2P8,53.530608000001,-113.412056,"[{'code': 'BE', 'description': 'Business Employment'}]",['https://cdn.realtor.ca/listings/TS638416323568200000/reb10/highres/2/E4370612_1.jpg'],1442 sqft,['Public Transit'],"Perfect investment, storage, or warehouse/office space located in Eastgate Business Park. Front portion is 3 private office spaces that could easily be turned back into 4 offices. A private hallway for the two, 2 piece bathrooms, with a rear coffee station. Rear warehouse has a small mezzanine that is perfect for storage and an additional 2 piece bathroom. 125 amp 120/208 power, 14x12 rear grade level overhead door, front and rear parking. Condo board replaced roof membrane in 2019. ETS stop directly in front of the building, conveniently located near 50 St, Anthony Henday, and 101 Ave/Baseline Rd. (30812582)",
14717 88 AV NW,T5R4J7,53.5201349149075,-113.576067584656,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638490556271030000/reb10/highres/7/E4382757_1.jpg'],,"['Playground', 'Public Transit', 'Schools']","Are you interested in DEVELOPMENT OPPORTUNITY?  Look no further! This 492.6 sq m, PIE-SHAPED lot in the highly-sought-after neighborhood of Parkview is PERFECT for anyone looking to build their DREAM HOME! This lot even comes with PROFESSIONAL RENDERINGS of a LEGALLY-SUITED new-build home! Whether you are an investor or simply someone who is looking to help subsidize your mortgage payments, this lot could be EXACTLY what you are looking for!  There is also a PERMITTED GARAGE for STORAGE that was built in 2008, and with the upcoming zoning in Edmonton, you'll have even more options to choose from when you decide to build!  Dimensions: 9.5m front | 37.2m interior | 16.8m rear | 37.9m exterior (31154375)","Water, Electricity"
12536 124 ST NW NW,T5L0N5,53.581855,-113.536733,"[{'code': 'IM', 'description': 'Medium Industrial'}]",['https://cdn.realtor.ca/listings/TS637800013171870000/reb10/highres/6/E4193536_1.jpg'],,[],Development opportunity for 0.11 acres industrial lot. Currently fenced and graveled yard space that could be suitable for storage users. Centralized location just off Yellowhead Trail. (25954058),
10637 68 AV NW,T6H2B3,53.504654878688,-113.506405158895,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638497396414370000/reb10/highres/2/E4384192_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","Terrific 33 ft x 131 ft lot with RF3 zoning in popular infill neighbourhood close to U of A campus and hospital, public transportation, Whyte avenue and more. Build your dream home here. Lot value only. Sold AS IS. (31191818)","Water, Electricity"
"106, 4363 167 Avenue",T5Y3Y2,53.6278337,-113.4074748,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638454175690200000/reb9/highres/8/A2112608_1.jpg'],1130 sqft,[],"Click the brochure link for more details***Premium Office Space. Concrete Construction, Durable, fire resistant, efficient, Continuous Glazing, Energy efficient and secure, Spacious 13” ceiling height, Professional Entryway/Lobby, High end finishes, Ample Underground parking, 6:1,000 SF parking ratio, Professionally Managed, Reliable and attentive management. 3rd Floor Units Raw Space - Flexible demising options up to ±13,358 SF. One 2nd floor unit remaining! Raw Space - Flexible demising options up to ±2,519 SF. (28707207)",
5203 101A AV NW,T6A0L7,53.5420217,-113.420259615344,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638461467992600000/reb10/highres/7/E4377397_1.jpg'],,"['Public Transit', 'Schools', 'Shopping']","INVESTMENT OPPORTUNITY: A rare chance to capitalize on a LARGE PARCEL OF LAND, ideal for investors or developers looking to make a significant impact in the area. Must be sold with 5207, 5209, 5211, 101A Ave. Explore the potential of 4 ADJACENT LOTS for a TOTAL LOT SIZE OF 1683 SQM. Prime re-development opportunity for multi-residential development. 2 houses and 2 garages on the lots, ZONED RS. Ideally located, for easy commuting to downtown, shopping center at Capilano withing walking distance, Gold Bar park a few blocks away, with river valley access and trails. Great schools in the area, Hardisty, McEwan and Kings College a few minutes down 50th Street, the public library and so much more! (31007938)",
5207 101A AV NW,T6A0L7,53.5420455069316,-113.420439115344,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638461467993830000/reb10/highres/8/E4377398_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","INVESTMENT OPPORTUNITY: A rare chance to capitalize on a LARGE PARCEL OF LAND, ideal for investors or developers looking to make a significant impact in the area. Explore the potential of 4 ADJACENT LOTS for a TOTAL LOT SIZE OF 1683 SQM. Must be sold with 5203, 5209, 5211, 101A Ave.  Prime re-development opportunity for multi-residential development. 2 houses and 2 garages on the lots, ZONED RS. Ideally located, for easy commuting to downtown, shopping center at Capilano withing walking distance, Gold Bar park a few blocks away, with river valley access and trails. Great schools in the area, Hardisty, McEwan and Kings College a few minutes down 50th Street, the public library and so much more! (31007940)","Water, Electricity"
15734 100 AV NW,T5P0L1,53.539622000001,-113.593193,"[{'code': 'DC2', 'description': 'Site Specific Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638501571784530000/reb10/highres/1/E4384801_1.jpg'],1183 sqft,[],"1183 ft2 office or retail condo. Variety use of business. Plenty of parking. Pylon sign available. Public transit nearby. Why paying rent if you can own this unit. AC unit, electric roll shutters. Reasonable condo fee. (31210195)",
7956 80 AV NW,T6C0S6,53.516336151632,-113.451661284656,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638461324036770000/reb10/highres/2/E4377372_1.jpg'],,"['Public Transit', 'Schools', 'Shopping']","A VACANT LOT that is FULLY SERVICED and ready to build on, located just 2 blocks south of Whyte Avenue in the sought-after neighbourhood of King Edward Park,The lot measures 25' by 130' (7.6 m x 39.69 m) long and gives you the space to construct a two-storey home that is just about 1700 ft or a three-story home that could be just over 2100 sq ft plus a double garage. Location is amazing - minutes from Bonnie Doon Mall, LRT, public transportation, shopping centres, Whyte Avenue and across the street from Duncan Innes Park and King Edward Park Community League. (31007417)",
12820 97 ST NW NW,T5E4C3,53.5873381212373,-113.492468838623,"[{'code': 'MU h16 f3.5 cf', 'description': 'Mixed Use'}]",['https://cdn.realtor.ca/listings/TS638138744154300000/reb10/highres/1/E4222991_1.jpg'],916 sqft,[],"****ONLY 3 UNITS REMANING*** Unique Owner/User & Leasing Opportunities with unit sizes  from 916 sq.ft. Join Circle K, COCO Bubble Tea and other prominent retailers/professional service providers in an exciting NEW development with exposure along 97 Street with 44,900 VPD. SEEKING Daycare, grocery, restaurants, cafs, furniture, professional services, health and medical providers. (26885961)",
14037 104 AV NW,T5N0W7,53.5453856811921,-113.565269853373,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638398900105400000/reb10/highres/0/E4368780_1.jpg'],,"['Golf Course', 'Schools', 'Shopping']","Vacant Lot in the great community of Glenora just minutes walk from West Block, close to schools, river valley, downtown and UoA. two blocks away from Valley line West LRT (currently under construction) Build the home of your dream in this perfect location. House is demolished and this lot is already registered with the city and ready for building. RF1 zoning allows you to built over 2000 sqft house, basement suite and garden suite. (30751507)",
9623 142 ST NW,T5N0E1,53.5341021935205,-113.5649977,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638513869450730000/reb10/highres/6/E4387126_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","Step into the opportunity of creating your dream home within the picturesque Crestwood community. This expansive 32.5 ft x 120 ft Vacant Lot is fully serviced and ready for your vision. Plus, a front attached garage is possible. Nestled conveniently near schools, amenities, and the serene River Valley, it offers the ideal canvas for your dream residence. (31274810)","Water, Electricity"
9605 142 ST NW,T5N2M8,53.5333284939156,-113.565134024468,"[{'code': 'RS', 'description': 'Small Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638457724057500000/reb10/highres/5/E4376525_1.jpg'],,"['Playground', 'Public Transit', 'Schools', 'Shopping']","RARE OPPORTUNITY! It just takes a quick walk around this property to appreciate the potential of this 30 x 120 lot in the highly sought after neighbourhood of Crestwood. Avoid the time and unknown costs involved in asbestos abatement, demolition, arborists, and subdivision BUILD YOUR DREAM HOME now! Enjoy the morning and early afternoon sun in the EAST FACING backyard. Take note of numerous new homes with FRONT ATTACHED GARAGES that are being built on the street. Also, with no front sidewalk, enjoy an additional 9 ft of landscaped front lot depth. Located just a stones throw from SCHOOLS, CAFS, RESTAURANTS, GROCERY STORES & RIVER VALLEY TRAILS. (30984853)","Water, Electricity"
#211 6958 76 AV NW,T6B0A9,53.5126484086384,-113.4352244,"[{'code': 'BE', 'description': 'Business Employment'}]",['https://cdn.realtor.ca/listings/TS638416395578570000/reb10/highres/9/E4370629_1.jpg'],1214 sqft,[],"Nicely finished 1,214 Sq.Ft. second floor office condo. Currently built out with open concept entry, kitchenette, washroom and two offices. Significant residential population in the area as well as close proximity to a multitude of commercial amenities. Pylon and facia signage available. Common area washrooms as well as private washroom within unit. Excellent exposure location along Argyll Road and 76 Avenue with easy access to Sherwood Park Fwy (100 Ave). (30812927)",
10A Grosvenor BV,T8N1P1,53.6277285437721,-113.62683582209,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638469820155400000/reb10/highres/7/E4378747_1.jpg'],,"['Park', 'Schools', 'Shopping']","Rare opportunity! Located in mature Grandin Park in the heart of St. Albert a 35 x 170 lot on beautiful tree-lined Grosvenor Blvd. Backing onto green space, this picturesque lot is level and ready for your building plans. Just minutes to all amenities! Outdoor swimming pool, schools, rinks, farmers market, Grandin Pond, parks, walking trails, shopping and super easy access to the Anthony Henday! It truly is the perfect building site for your dream home! **Adjacent Lot also available ** (31043827)",
10B Grosvenor BV,T8N1P1,53.6277285437721,-113.626803635582,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638469820156430000/reb10/highres/8/E4378748_1.jpg'],,"['Park', 'Public Transit', 'Schools', 'Shopping']","Rare opportunity! Located in mature Grandin Park in the heart of St. Albert a 35 x 170 lot on beautiful tree-lined Grosvenor Blvd. Backing onto green space, this picturesque lot is level and ready for your building plans. Just minutes to all amenities! Outdoor swimming pool, schools, rinks, farmers market, Grandin Pond, parks, walking trails, shopping and super easy access to the Anthony Henday! It truly is the perfect building site for your dream home! **Adjacent Lot also available ** (31043829)",
#105 10265 107 STREET NW,T5J5G2,53.544369000001,-113.504436,"[{'code': 'UW', 'description': 'Urban Warehouse Zone'}]",['https://cdn.realtor.ca/listings/TS638488107731030000/reb10/highres/9/E4382209_1.jpg'],1075 sqft,[],"Discover the perfect space for your business in the heart of Downtown Ice District! This exceptional 1,233 sq ft property including a versatile loft, combines residential comfort with commercial opportunities. Ideal for home-based businesses and indoor sales and services, this unique property is tailor-made for art studios, tattoo parlors, or photography studio. The versatile layout & bright open-concept design, Inc 14ft ceilings, birch hardwood, tiled flooring, exposed brick feature wall, all make the space feels expansive yet inviting, easy to create the ideal setting for both work and relaxation. A convenient private second back door allows for easy move-ins. Modern Kitchen Is fully equipped with stainless steel appliances and ample cabinets, providing all the essentials for staff or entertaining clients. Prime Location just steps away from Rogers Place, Norquest, and MacEwan University, this property offers excellent exposure allowing you to tailor the environment to suit your business needs. (31137355)",
Address not available,T8N3V6,53.6197748780662,-113.610398420763,"[{'code': '', 'description': ''}]",['https://cdn.realtor.ca/listings/TS638507187706470000/reb10/highres/0/E4386070_1.jpg'],,[],"Welcome to a turnkey culinary adventure in St. Albert! Located close to St Albert Trail this restaurant has a fusion of flavors that captivate the senses. Impeccably designed interiors welcome guests into a warm, inviting ambiance. From the moment patrons step through the door, they're greeted by a comfortable atmosphere.  The menu, curated with precision and passion, showcases a tantalizing array of dishes that celebrate local ingredients and global influences. Each bite tells a story of culinary mastery, leaving diners craving more. With raving reviews from satisfied customers, this establishment has earned its place as a beloved gem in the community.  Beyond the delectable fare, the business is meticulously organized for seamless operations. From efficient kitchen workflows to attentive front-of-house service, every aspect is finely tuned to ensure an exceptional dining experience. With a dedicated team in place, new owners can step into a thriving enterprise right away. Dont miss out (31247377)",
11833 FORT RD NW,T5B4G6,53.5714765114696,-113.463674317197,"[{'code': 'RM h23', 'description': 'Medium Scale Residential'}]",['https://cdn.realtor.ca/listings/TS638416323570800000/reb10/highres/1/E4370621_1.jpg'],,[],"Excellent location & exposure on main Fort Road. Across from the established commercial plaza, Parkdale Square. RA8 zoned for medium rise Multi-unit Housing. Wide range of permitted uses. Two Vacant Lots - total of 6453 sq ft. Fully serviced site. (30812592)",
208 Fraser WY NW,T5Y0Y5,53.6136292276467,-113.361714684656,"[{'code': 'RSF', 'description': 'Small Scale Flex Residential'}]",['https://cdn.realtor.ca/listings/TS638448300835700000/reb10/highres/9/E4341459_1.jpg'],,[],"Perfect lot to build Triple garage, front drive, This lot backs on to the lake and park. The size of the lot is 44.11 Meters long and 16.10 meters front. Beautiful location surrounded by beautiful houses and close distance to the river valley and easy access to the main roads. 153 Ave and Anthony henday Dr min away from two hospitals in Sherwood park and Fort Saskatchewan. GST included. 5000 security damage deposit and landscaping deposit apply upon closing (29950625)",
Address not available,T6E5P2,53.465900800001,-113.4707176,"[{'code': 'CG', 'description': 'General Commercial'}]",['https://cdn.realtor.ca/listings/TS638519067734100000/reb10/highres/2/E4388452_1.jpg'],,[],"Nestled in the heart of South Edmonton, this charming real estate gem presents a golden opportunity for entrepreneurs passionate about traditional Punjabi attire. Boasting a spacious storefront with elegant interiors, this establishment is primed to showcase a stunning array of Punjabi suits, sarees, and accessories. With its strategic location amidst bustling foot traffic, this property promises both visibility and accessibility, ensuring a thriving business venture. Don't miss the chance to  build a successful retail empire. Make your mark in the world of fashion! (31310155)",
"144, 10403 122 Street",T5N4C1,53.54707,-113.53167,"[{'code': 'DC1', 'description': 'Direct Development Control Provision'}]",['https://cdn.realtor.ca/listings/TS638500884951000000/reb9/highres/4/A2126554_1.jpg'],1102 sqft,[],"Click brochure link for more details** 1,102 SF unit for sale. Excellent owner/user or investment opportunity. Short-term Tenant in place until September 1, 2025. Bright, modern and recently upgraded unit that shows well. 26,500 vehicles daily on 104 Avenue with major bus routes and future LRT stops near the site. Immediately adjacent to the Brewery District with great connectivity to the downtown core. Supported by 184 residential units above and high density residential in the area (28934212)",
